Task,Layer,TopK,Metric,Value
german,25,3000,Shared,3000
german,25,5000,Unique,0
german,25,5000,Shared,5000
code,0,50,Unique,42
code,0,50,Shared,8
code,0,100,Unique,89
code,0,100,Shared,11
code,0,500,Unique,446
code,0,500,Shared,54
code,0,1000,Unique,751
code,0,1000,Shared,249
code,0,2000,Unique,843
code,0,2000,Shared,1157
code,0,3000,Unique,780
code,0,3000,Shared,2220
code,0,5000,Unique,1866
code,0,5000,Shared,3134
code,1,50,Unique,45
code,1,50,Shared,5
code,1,100,Unique,91
code,1,100,Shared,9
code,1,500,Unique,439
code,1,500,Shared,61
code,1,1000,Unique,741
code,1,1000,Shared,259
code,1,2000,Unique,869
code,1,2000,Shared,1131
code,1,3000,Unique,677
code,1,3000,Shared,2323
code,1,5000,Unique,1423
code,1,5000,Shared,3577
code,2,50,Unique,46
code,2,50,Shared,4
code,2,100,Unique,90
code,2,100,Shared,10
code,2,500,Unique,249
code,2,500,Shared,251
code,2,1000,Unique,592
code,2,1000,Shared,408
code,2,2000,Unique,777
code,2,2000,Shared,1223
code,2,3000,Unique,601
code,2,3000,Shared,2399
code,2,5000,Unique,1008
code,2,5000,Shared,3992
code,3,50,Unique,43
code,3,50,Shared,7
code,3,100,Unique,88
code,3,100,Shared,12
code,3,500,Unique,294
code,3,500,Shared,206
code,3,1000,Unique,486
code,3,1000,Shared,514
code,3,2000,Unique,770
code,3,2000,Shared,1230
code,3,3000,Unique,965
code,3,3000,Shared,2035
code,3,5000,Unique,1346
code,3,5000,Shared,3654
code,4,50,Unique,44
code,4,50,Shared,6
code,4,100,Unique,76
code,4,100,Shared,24
code,4,500,Unique,274
code,4,500,Shared,226
code,4,1000,Unique,450
code,4,1000,Shared,550
code,4,2000,Unique,731
code,4,2000,Shared,1269
code,4,3000,Unique,944
code,4,3000,Shared,2056
code,4,5000,Unique,1179
code,4,5000,Shared,3821
code,5,50,Unique,42
code,5,50,Shared,8
code,5,100,Unique,88
code,5,100,Shared,12
code,5,500,Unique,254
code,5,500,Shared,246
code,5,1000,Unique,366
code,5,1000,Shared,634
code,5,2000,Unique,512
code,5,2000,Shared,1488
code,5,3000,Unique,632
code,5,3000,Shared,2368
code,5,5000,Unique,783
code,5,5000,Shared,4217
code,6,50,Unique,39
code,6,50,Shared,11
code,6,100,Unique,87
code,6,100,Shared,13
code,6,500,Unique,246
code,6,500,Shared,254
code,6,1000,Unique,339
code,6,1000,Shared,661
code,6,2000,Unique,513
code,6,2000,Shared,1487
code,6,3000,Unique,648
code,6,3000,Shared,2352
code,6,5000,Unique,867
code,6,5000,Shared,4133
code,7,50,Unique,40
code,7,50,Shared,10
code,7,100,Unique,86
code,7,100,Shared,14
code,7,500,Unique,228
code,7,500,Shared,272
code,7,1000,Unique,302
code,7,1000,Shared,698
code,7,2000,Unique,405
code,7,2000,Shared,1595
code,7,3000,Unique,500
code,7,3000,Shared,2500
code,7,5000,Unique,703
code,7,5000,Shared,4297
code,8,50,Unique,42
code,8,50,Shared,8
code,8,100,Unique,85
code,8,100,Shared,15
code,8,500,Unique,193
code,8,500,Shared,307
code,8,1000,Unique,273
code,8,1000,Shared,727
code,8,2000,Unique,396
code,8,2000,Shared,1604
code,8,3000,Unique,503
code,8,3000,Shared,2497
code,8,5000,Unique,721
code,8,5000,Shared,4279
code,9,50,Unique,42
code,9,50,Shared,8
code,9,100,Unique,85
code,9,100,Shared,15
code,9,500,Unique,190
code,9,500,Shared,310
code,9,1000,Unique,287
code,9,1000,Shared,713
code,9,2000,Unique,420
code,9,2000,Shared,1580
code,9,3000,Unique,532
code,9,3000,Shared,2468
code,9,5000,Unique,771
code,9,5000,Shared,4229
code,10,50,Unique,40
code,10,50,Shared,10
code,10,100,Unique,81
code,10,100,Shared,19
code,10,500,Unique,203
code,10,500,Shared,297
code,10,1000,Unique,309
code,10,1000,Shared,691
code,10,2000,Unique,475
code,10,2000,Shared,1525
code,10,3000,Unique,669
code,10,3000,Shared,2331
code,10,5000,Unique,1148
code,10,5000,Shared,3852
code,11,50,Unique,38
code,11,50,Shared,12
code,11,100,Unique,76
code,11,100,Shared,24
code,11,500,Unique,184
code,11,500,Shared,316
code,11,1000,Unique,293
code,11,1000,Shared,707
code,11,2000,Unique,463
code,11,2000,Shared,1537
code,11,3000,Unique,642
code,11,3000,Shared,2358
code,11,5000,Unique,1186
code,11,5000,Shared,3814
code,12,50,Unique,12
code,12,50,Shared,38
code,12,100,Unique,19
code,12,100,Shared,81
code,12,500,Unique,133
code,12,500,Shared,367
code,12,1000,Unique,234
code,12,1000,Shared,766
code,12,2000,Unique,219
code,12,2000,Shared,1781
code,12,3000,Unique,202
code,12,3000,Shared,2798
code,12,5000,Unique,171
code,12,5000,Shared,4829
code,13,50,Unique,8
code,13,50,Shared,42
code,13,100,Unique,16
code,13,100,Shared,84
code,13,500,Unique,96
code,13,500,Shared,404
code,13,1000,Unique,94
code,13,1000,Shared,906
code,13,2000,Unique,89
code,13,2000,Shared,1911
code,13,3000,Unique,86
code,13,3000,Shared,2914
code,13,5000,Unique,70
code,13,5000,Shared,4930
code,14,50,Unique,8
code,14,50,Shared,42
code,14,100,Unique,15
code,14,100,Shared,85
code,14,500,Unique,49
code,14,500,Shared,451
code,14,1000,Unique,49
code,14,1000,Shared,951
code,14,2000,Unique,47
code,14,2000,Shared,1953
code,14,3000,Unique,45
code,14,3000,Shared,2955
code,14,5000,Unique,35
code,14,5000,Shared,4965
code,15,50,Unique,7
code,15,50,Shared,43
code,15,100,Unique,16
code,15,100,Shared,84
code,15,500,Unique,14
code,15,500,Shared,486
code,15,1000,Unique,12
code,15,1000,Shared,988
code,15,2000,Unique,12
code,15,2000,Shared,1988
code,15,3000,Unique,12
code,15,3000,Shared,2988
code,15,5000,Unique,9
code,15,5000,Shared,4991
code,16,50,Unique,3
code,16,50,Shared,47
code,16,100,Unique,11
code,16,100,Shared,89
code,16,500,Unique,11
code,16,500,Shared,489
code,16,1000,Unique,11
code,16,1000,Shared,989
code,16,2000,Unique,10
code,16,2000,Shared,1990
code,16,3000,Unique,7
code,16,3000,Shared,2993
code,16,5000,Unique,6
code,16,5000,Shared,4994
code,17,50,Unique,6
code,17,50,Shared,44
code,17,100,Unique,14
code,17,100,Shared,86
code,17,500,Unique,15
code,17,500,Shared,485
code,17,1000,Unique,14
code,17,1000,Shared,986
code,17,2000,Unique,14
code,17,2000,Shared,1986
code,17,3000,Unique,13
code,17,3000,Shared,2987
code,17,5000,Unique,12
code,17,5000,Shared,4988
code,18,50,Unique,5
code,18,50,Shared,45
code,18,100,Unique,11
code,18,100,Shared,89
code,18,500,Unique,11
code,18,500,Shared,489
code,18,1000,Unique,11
code,18,1000,Shared,989
code,18,2000,Unique,11
code,18,2000,Shared,1989
code,18,3000,Unique,11
code,18,3000,Shared,2989
code,18,5000,Unique,9
code,18,5000,Shared,4991
code,19,50,Unique,4
code,19,50,Shared,46
code,19,100,Unique,9
code,19,100,Shared,91
code,19,500,Unique,9
code,19,500,Shared,491
code,19,1000,Unique,8
code,19,1000,Shared,992
code,19,2000,Unique,8
code,19,2000,Shared,1992
code,19,3000,Unique,8
code,19,3000,Shared,2992
code,19,5000,Unique,7
code,19,5000,Shared,4993
code,20,50,Unique,2
code,20,50,Shared,48
code,20,100,Unique,7
code,20,100,Shared,93
code,20,500,Unique,7
code,20,500,Shared,493
code,20,1000,Unique,7
code,20,1000,Shared,993
code,20,2000,Unique,7
code,20,2000,Shared,1993
code,20,3000,Unique,6
code,20,3000,Shared,2994
code,20,5000,Unique,4
code,20,5000,Shared,4996
code,21,50,Unique,2
code,21,50,Shared,48
code,21,100,Unique,2
code,21,100,Shared,98
code,21,500,Unique,2
code,21,500,Shared,498
code,21,1000,Unique,2
code,21,1000,Shared,998
code,21,2000,Unique,2
code,21,2000,Shared,1998
code,21,3000,Unique,2
code,21,3000,Shared,2998
code,21,5000,Unique,2
code,21,5000,Shared,4998
code,22,50,Unique,6
code,22,50,Shared,44
code,22,100,Unique,6
code,22,100,Shared,94
code,22,500,Unique,6
code,22,500,Shared,494
code,22,1000,Unique,6
code,22,1000,Shared,994
code,22,2000,Unique,6
code,22,2000,Shared,1994
code,22,3000,Unique,6
code,22,3000,Shared,2994
code,22,5000,Unique,6
code,22,5000,Shared,4994
code,23,50,Unique,4
code,23,50,Shared,46
code,23,100,Unique,4
code,23,100,Shared,96
code,23,500,Unique,4
code,23,500,Shared,496
code,23,1000,Unique,4
code,23,1000,Shared,996
code,23,2000,Unique,3
code,23,2000,Shared,1997
code,23,3000,Unique,3
code,23,3000,Shared,2997
code,23,5000,Unique,2
code,23,5000,Shared,4998
code,24,50,Unique,0
code,24,50,Shared,50
code,24,100,Unique,0
code,24,100,Shared,100
code,24,500,Unique,0
code,24,500,Shared,500
code,24,1000,Unique,0
code,24,1000,Shared,1000
code,24,2000,Unique,0
code,24,2000,Shared,2000
code,24,3000,Unique,0
code,24,3000,Shared,3000
code,24,5000,Unique,0
code,24,5000,Shared,5000
code,25,50,Unique,0
code,25,50,Shared,50
code,25,100,Unique,0
code,25,100,Shared,100
code,25,500,Unique,0
code,25,500,Shared,500
code,25,1000,Unique,0
code,25,1000,Shared,1000
code,25,2000,Unique,0
code,25,2000,Shared,2000
code,25,3000,Unique,0
code,25,3000,Shared,3000
code,25,5000,Unique,0
code,25,5000,Shared,5000
math,0,50,Unique,41
math,0,50,Shared,9
math,0,100,Unique,77
math,0,100,Shared,23
math,0,500,Unique,220
math,0,500,Shared,280
math,0,1000,Unique,275
math,0,1000,Shared,725
math,0,2000,Unique,344
math,0,2000,Shared,1656
math,0,3000,Unique,536
math,0,3000,Shared,2464
math,0,5000,Unique,1725
math,0,5000,Shared,3275
math,1,50,Unique,41
math,1,50,Shared,9
math,1,100,Unique,77
math,1,100,Shared,23
math,1,500,Unique,248
math,1,500,Shared,252
math,1,1000,Unique,327
math,1,1000,Shared,673
math,1,2000,Unique,389
math,1,2000,Shared,1611
math,1,3000,Unique,436
math,1,3000,Shared,2564
math,1,5000,Unique,1174
math,1,5000,Shared,3826
math,2,50,Unique,30
math,2,50,Shared,20
math,2,100,Unique,36
math,2,100,Shared,64
math,2,500,Unique,207
math,2,500,Shared,293
math,2,1000,Unique,383
math,2,1000,Shared,617
math,2,2000,Unique,521
math,2,2000,Shared,1479
math,2,3000,Unique,423
math,2,3000,Shared,2577
math,2,5000,Unique,828
math,2,5000,Shared,4172
math,3,50,Unique,42
math,3,50,Shared,8
math,3,100,Unique,85
math,3,100,Shared,15
math,3,500,Unique,229
math,3,500,Shared,271
math,3,1000,Unique,378
math,3,1000,Shared,622
math,3,2000,Unique,581
math,3,2000,Shared,1419
math,3,3000,Unique,698
math,3,3000,Shared,2302
math,3,5000,Unique,966
math,3,5000,Shared,4034
math,4,50,Unique,32
math,4,50,Shared,18
math,4,100,Unique,47
math,4,100,Shared,53
math,4,500,Unique,240
math,4,500,Shared,260
math,4,1000,Unique,344
math,4,1000,Shared,656
math,4,2000,Unique,513
math,4,2000,Shared,1487
math,4,3000,Unique,623
math,4,3000,Shared,2377
math,4,5000,Unique,844
math,4,5000,Shared,4156
math,5,50,Unique,40
math,5,50,Shared,10
math,5,100,Unique,86
math,5,100,Shared,14
math,5,500,Unique,221
math,5,500,Shared,279
math,5,1000,Unique,296
math,5,1000,Shared,704
math,5,2000,Unique,399
math,5,2000,Shared,1601
math,5,3000,Unique,448
math,5,3000,Shared,2552
math,5,5000,Unique,546
math,5,5000,Shared,4454
math,6,50,Unique,39
math,6,50,Shared,11
math,6,100,Unique,84
math,6,100,Shared,16
math,6,500,Unique,225
math,6,500,Shared,275
math,6,1000,Unique,272
math,6,1000,Shared,728
math,6,2000,Unique,411
math,6,2000,Shared,1589
math,6,3000,Unique,513
math,6,3000,Shared,2487
math,6,5000,Unique,661
math,6,5000,Shared,4339
math,7,50,Unique,40
math,7,50,Shared,10
math,7,100,Unique,85
math,7,100,Shared,15
math,7,500,Unique,217
math,7,500,Shared,283
math,7,1000,Unique,252
math,7,1000,Shared,748
math,7,2000,Unique,339
math,7,2000,Shared,1661
math,7,3000,Unique,408
math,7,3000,Shared,2592
math,7,5000,Unique,545
math,7,5000,Shared,4455
math,8,50,Unique,42
math,8,50,Shared,8
math,8,100,Unique,85
math,8,100,Shared,15
math,8,500,Unique,185
math,8,500,Shared,315
math,8,1000,Unique,241
math,8,1000,Shared,759
math,8,2000,Unique,345
math,8,2000,Shared,1655
math,8,3000,Unique,436
math,8,3000,Shared,2564
math,8,5000,Unique,607
math,8,5000,Shared,4393
math,9,50,Unique,40
math,9,50,Shared,10
math,9,100,Unique,85
math,9,100,Shared,15
math,9,500,Unique,197
math,9,500,Shared,303
math,9,1000,Unique,281
math,9,1000,Shared,719
math,9,2000,Unique,375
math,9,2000,Shared,1625
math,9,3000,Unique,470
math,9,3000,Shared,2530
math,9,5000,Unique,685
math,9,5000,Shared,4315
math,10,50,Unique,39
math,10,50,Shared,11
math,10,100,Unique,80
math,10,100,Shared,20
math,10,500,Unique,205
math,10,500,Shared,295
math,10,1000,Unique,326
math,10,1000,Shared,674
math,10,2000,Unique,493
math,10,2000,Shared,1507
math,10,3000,Unique,671
math,10,3000,Shared,2329
math,10,5000,Unique,1086
math,10,5000,Shared,3914
math,11,50,Unique,39
math,11,50,Shared,11
math,11,100,Unique,75
math,11,100,Shared,25
math,11,500,Unique,200
math,11,500,Shared,300
math,11,1000,Unique,314
math,11,1000,Shared,686
math,11,2000,Unique,482
math,11,2000,Shared,1518
math,11,3000,Unique,680
math,11,3000,Shared,2320
math,11,5000,Unique,1121
math,11,5000,Shared,3879
math,12,50,Unique,9
math,12,50,Shared,41
math,12,100,Unique,18
math,12,100,Shared,82
math,12,500,Unique,121
math,12,500,Shared,379
math,12,1000,Unique,254
math,12,1000,Shared,746
math,12,2000,Unique,245
math,12,2000,Shared,1755
math,12,3000,Unique,227
math,12,3000,Shared,2773
math,12,5000,Unique,197
math,12,5000,Shared,4803
math,13,50,Unique,6
math,13,50,Shared,44
math,13,100,Unique,14
math,13,100,Shared,86
math,13,500,Unique,79
math,13,500,Shared,421
math,13,1000,Unique,76
math,13,1000,Shared,924
math,13,2000,Unique,70
math,13,2000,Shared,1930
math,13,3000,Unique,63
math,13,3000,Shared,2937
math,13,5000,Unique,53
math,13,5000,Shared,4947
math,14,50,Unique,5
math,14,50,Shared,45
math,14,100,Unique,17
math,14,100,Shared,83
math,14,500,Unique,35
math,14,500,Shared,465
math,14,1000,Unique,33
math,14,1000,Shared,967
math,14,2000,Unique,30
math,14,2000,Shared,1970
math,14,3000,Unique,28
math,14,3000,Shared,2972
math,14,5000,Unique,27
math,14,5000,Shared,4973
math,15,50,Unique,7
math,15,50,Shared,43
math,15,100,Unique,16
math,15,100,Shared,84
math,15,500,Unique,14
math,15,500,Shared,486
math,15,1000,Unique,11
math,15,1000,Shared,989
math,15,2000,Unique,10
math,15,2000,Shared,1990
math,15,3000,Unique,10
math,15,3000,Shared,2990
math,15,5000,Unique,8
math,15,5000,Shared,4992
math,16,50,Unique,5
math,16,50,Shared,45
math,16,100,Unique,12
math,16,100,Shared,88
math,16,500,Unique,12
math,16,500,Shared,488
math,16,1000,Unique,12
math,16,1000,Shared,988
math,16,2000,Unique,11
math,16,2000,Shared,1989
math,16,3000,Unique,8
math,16,3000,Shared,2992
math,16,5000,Unique,7
math,16,5000,Shared,4993
math,17,50,Unique,3
math,17,50,Shared,47
math,17,100,Unique,15
math,17,100,Shared,85
math,17,500,Unique,17
math,17,500,Shared,483
math,17,1000,Unique,16
math,17,1000,Shared,984
math,17,2000,Unique,16
math,17,2000,Shared,1984
math,17,3000,Unique,16
math,17,3000,Shared,2984
math,17,5000,Unique,11
math,17,5000,Shared,4989
math,18,50,Unique,5
math,18,50,Shared,45
math,18,100,Unique,14
math,18,100,Shared,86
math,18,500,Unique,14
math,18,500,Shared,486
math,18,1000,Unique,14
math,18,1000,Shared,986
math,18,2000,Unique,14
math,18,2000,Shared,1986
math,18,3000,Unique,12
math,18,3000,Shared,2988
math,18,5000,Unique,9
math,18,5000,Shared,4991
math,19,50,Unique,3
math,19,50,Shared,47
math,19,100,Unique,15
math,19,100,Shared,85
math,19,500,Unique,14
math,19,500,Shared,486
math,19,1000,Unique,13
math,19,1000,Shared,987
math,19,2000,Unique,13
