Task,Layer,TopK,Metric,Value
sql,27,2000,Unique,5
sql,27,2000,Shared,1995
sql,27,3000,Unique,5
sql,27,3000,Shared,2995
sql,27,5000,Unique,5
sql,27,5000,Shared,4995
sql,28,50,Unique,3
sql,28,50,Shared,47
sql,28,100,Unique,8
sql,28,100,Shared,92
sql,28,500,Unique,15
sql,28,500,Shared,485
sql,28,1000,Unique,15
sql,28,1000,Shared,985
sql,28,2000,Unique,15
sql,28,2000,Shared,1985
sql,28,3000,Unique,15
sql,28,3000,Shared,2985
sql,28,5000,Unique,15
sql,28,5000,Shared,4985
sql,29,50,Unique,2
sql,29,50,Shared,48
sql,29,100,Unique,4
sql,29,100,Shared,96
sql,29,500,Unique,4
sql,29,500,Shared,496
sql,29,1000,Unique,4
sql,29,1000,Shared,996
sql,29,2000,Unique,4
sql,29,2000,Shared,1996
sql,29,3000,Unique,4
sql,29,3000,Shared,2996
sql,29,5000,Unique,4
sql,29,5000,Shared,4996
sql,30,50,Unique,1
sql,30,50,Shared,49
sql,30,100,Unique,6
sql,30,100,Shared,94
sql,30,500,Unique,6
sql,30,500,Shared,494
sql,30,1000,Unique,6
sql,30,1000,Shared,994
sql,30,2000,Unique,6
sql,30,2000,Shared,1994
sql,30,3000,Unique,6
sql,30,3000,Shared,2994
sql,30,5000,Unique,6
sql,30,5000,Shared,4994
sql,31,50,Unique,1
sql,31,50,Shared,49
sql,31,100,Unique,6
sql,31,100,Shared,94
sql,31,500,Unique,6
sql,31,500,Shared,494
sql,31,1000,Unique,6
sql,31,1000,Shared,994
sql,31,2000,Unique,6
sql,31,2000,Shared,1994
sql,31,3000,Unique,6
sql,31,3000,Shared,2994
sql,31,5000,Unique,6
sql,31,5000,Shared,4994
sql,32,50,Unique,0
sql,32,50,Shared,50
sql,32,100,Unique,9
sql,32,100,Shared,91
sql,32,500,Unique,9
sql,32,500,Shared,491
sql,32,1000,Unique,9
sql,32,1000,Shared,991
sql,32,2000,Unique,9
sql,32,2000,Shared,1991
sql,32,3000,Unique,9
sql,32,3000,Shared,2991
sql,32,5000,Unique,8
sql,32,5000,Shared,4992
sql,33,50,Unique,0
sql,33,50,Shared,50
sql,33,100,Unique,3
sql,33,100,Shared,97
sql,33,500,Unique,9
sql,33,500,Shared,491
sql,33,1000,Unique,9
sql,33,1000,Shared,991
sql,33,2000,Unique,9
sql,33,2000,Shared,1991
sql,33,3000,Unique,9
sql,33,3000,Shared,2991
sql,33,5000,Unique,9
sql,33,5000,Shared,4991
sql,34,50,Unique,1
sql,34,50,Shared,49
sql,34,100,Unique,2
sql,34,100,Shared,98
sql,34,500,Unique,8
sql,34,500,Shared,492
sql,34,1000,Unique,8
sql,34,1000,Shared,992
sql,34,2000,Unique,8
sql,34,2000,Shared,1992
sql,34,3000,Unique,8
sql,34,3000,Shared,2992
sql,34,5000,Unique,8
sql,34,5000,Shared,4992
sql,35,50,Unique,0
sql,35,50,Shared,50
sql,35,100,Unique,7
sql,35,100,Shared,93
sql,35,500,Unique,7
sql,35,500,Shared,493
sql,35,1000,Unique,7
sql,35,1000,Shared,993
sql,35,2000,Unique,7
sql,35,2000,Shared,1993
sql,35,3000,Unique,7
sql,35,3000,Shared,2993
sql,35,5000,Unique,7
sql,35,5000,Shared,4993
sql,36,50,Unique,1
sql,36,50,Shared,49
sql,36,100,Unique,6
sql,36,100,Shared,94
sql,36,500,Unique,6
sql,36,500,Shared,494
sql,36,1000,Unique,6
sql,36,1000,Shared,994
sql,36,2000,Unique,6
sql,36,2000,Shared,1994
sql,36,3000,Unique,6
sql,36,3000,Shared,2994
sql,36,5000,Unique,6
sql,36,5000,Shared,4994
sql,37,50,Unique,0
sql,37,50,Shared,50
sql,37,100,Unique,8
sql,37,100,Shared,92
sql,37,500,Unique,8
sql,37,500,Shared,492
sql,37,1000,Unique,8
sql,37,1000,Shared,992
sql,37,2000,Unique,8
sql,37,2000,Shared,1992
sql,37,3000,Unique,7
sql,37,3000,Shared,2993
sql,37,5000,Unique,7
sql,37,5000,Shared,4993
sql,38,50,Unique,3
sql,38,50,Shared,47
sql,38,100,Unique,3
sql,38,100,Shared,97
sql,38,500,Unique,3
sql,38,500,Shared,497
sql,38,1000,Unique,3
sql,38,1000,Shared,997
sql,38,2000,Unique,3
sql,38,2000,Shared,1997
sql,38,3000,Unique,3
sql,38,3000,Shared,2997
sql,38,5000,Unique,3
sql,38,5000,Shared,4997
sql,39,50,Unique,0
sql,39,50,Shared,50
sql,39,100,Unique,2
sql,39,100,Shared,98
sql,39,500,Unique,2
sql,39,500,Shared,498
sql,39,1000,Unique,2
sql,39,1000,Shared,998
sql,39,2000,Unique,2
sql,39,2000,Shared,1998
sql,39,3000,Unique,2
sql,39,3000,Shared,2998
sql,39,5000,Unique,2
sql,39,5000,Shared,4998
sql,40,50,Unique,0
sql,40,50,Shared,50
sql,40,100,Unique,0
sql,40,100,Shared,100
sql,40,500,Unique,0
sql,40,500,Shared,500
sql,40,1000,Unique,0
sql,40,1000,Shared,1000
sql,40,2000,Unique,0
sql,40,2000,Shared,2000
sql,40,3000,Unique,0
sql,40,3000,Shared,3000
sql,40,5000,Unique,0
sql,40,5000,Shared,5000
sql,41,50,Unique,0
sql,41,50,Shared,50
sql,41,100,Unique,0
sql,41,100,Shared,100
sql,41,500,Unique,0
sql,41,500,Shared,500
sql,41,1000,Unique,0
sql,41,1000,Shared,1000
sql,41,2000,Unique,0
sql,41,2000,Shared,2000
sql,41,3000,Unique,0
sql,41,3000,Shared,3000
sql,41,5000,Unique,0
sql,41,5000,Shared,5000
