Task,Layer,TopK,Metric,Value
german,25,5000,Shared,4987
german,26,50,Unique,1
german,26,50,Shared,49
german,26,100,Unique,11
german,26,100,Shared,89
german,26,500,Unique,11
german,26,500,Shared,489
german,26,1000,Unique,11
german,26,1000,Shared,989
german,26,2000,Unique,11
german,26,2000,Shared,1989
german,26,3000,Unique,11
german,26,3000,Shared,2989
german,26,5000,Unique,10
german,26,5000,Shared,4990
german,27,50,Unique,5
german,27,50,Shared,45
german,27,100,Unique,6
german,27,100,Shared,94
german,27,500,Unique,6
german,27,500,Shared,494
german,27,1000,Unique,6
german,27,1000,Shared,994
german,27,2000,Unique,6
german,27,2000,Shared,1994
german,27,3000,Unique,6
german,27,3000,Shared,2994
german,27,5000,Unique,6
german,27,5000,Shared,4994
german,28,50,Unique,2
german,28,50,Shared,48
german,28,100,Unique,7
german,28,100,Shared,93
german,28,500,Unique,16
german,28,500,Shared,484
german,28,1000,Unique,16
german,28,1000,Shared,984
german,28,2000,Unique,16
german,28,2000,Shared,1984
german,28,3000,Unique,16
german,28,3000,Shared,2984
german,28,5000,Unique,14
german,28,5000,Shared,4986
german,29,50,Unique,1
german,29,50,Shared,49
german,29,100,Unique,3
german,29,100,Shared,97
german,29,500,Unique,3
german,29,500,Shared,497
german,29,1000,Unique,3
german,29,1000,Shared,997
german,29,2000,Unique,3
german,29,2000,Shared,1997
german,29,3000,Unique,3
german,29,3000,Shared,2997
german,29,5000,Unique,3
german,29,5000,Shared,4997
german,30,50,Unique,1
german,30,50,Shared,49
german,30,100,Unique,6
german,30,100,Shared,94
german,30,500,Unique,6
german,30,500,Shared,494
german,30,1000,Unique,6
german,30,1000,Shared,994
german,30,2000,Unique,6
german,30,2000,Shared,1994
german,30,3000,Unique,6
german,30,3000,Shared,2994
german,30,5000,Unique,6
german,30,5000,Shared,4994
german,31,50,Unique,1
german,31,50,Shared,49
german,31,100,Unique,7
german,31,100,Shared,93
german,31,500,Unique,7
german,31,500,Shared,493
german,31,1000,Unique,7
german,31,1000,Shared,993
german,31,2000,Unique,7
german,31,2000,Shared,1993
german,31,3000,Unique,7
german,31,3000,Shared,2993
german,31,5000,Unique,7
german,31,5000,Shared,4993
german,32,50,Unique,0
german,32,50,Shared,50
german,32,100,Unique,8
german,32,100,Shared,92
german,32,500,Unique,8
german,32,500,Shared,492
german,32,1000,Unique,7
german,32,1000,Shared,993
german,32,2000,Unique,7
german,32,2000,Shared,1993
german,32,3000,Unique,7
german,32,3000,Shared,2993
german,32,5000,Unique,7
german,32,5000,Shared,4993
german,33,50,Unique,0
german,33,50,Shared,50
german,33,100,Unique,3
german,33,100,Shared,97
german,33,500,Unique,9
german,33,500,Shared,491
german,33,1000,Unique,9
german,33,1000,Shared,991
german,33,2000,Unique,9
german,33,2000,Shared,1991
german,33,3000,Unique,9
german,33,3000,Shared,2991
german,33,5000,Unique,9
german,33,5000,Shared,4991
german,34,50,Unique,1
german,34,50,Shared,49
german,34,100,Unique,3
german,34,100,Shared,97
german,34,500,Unique,8
german,34,500,Shared,492
german,34,1000,Unique,8
german,34,1000,Shared,992
german,34,2000,Unique,8
german,34,2000,Shared,1992
german,34,3000,Unique,8
german,34,3000,Shared,2992
german,34,5000,Unique,7
german,34,5000,Shared,4993
german,35,50,Unique,0
german,35,50,Shared,50
german,35,100,Unique,7
german,35,100,Shared,93
german,35,500,Unique,7
german,35,500,Shared,493
german,35,1000,Unique,7
german,35,1000,Shared,993
german,35,2000,Unique,7
german,35,2000,Shared,1993
german,35,3000,Unique,7
german,35,3000,Shared,2993
german,35,5000,Unique,7
german,35,5000,Shared,4993
german,36,50,Unique,0
german,36,50,Shared,50
german,36,100,Unique,5
german,36,100,Shared,95
german,36,500,Unique,5
german,36,500,Shared,495
german,36,1000,Unique,5
german,36,1000,Shared,995
german,36,2000,Unique,5
german,36,2000,Shared,1995
german,36,3000,Unique,5
german,36,3000,Shared,2995
german,36,5000,Unique,5
german,36,5000,Shared,4995
german,37,50,Unique,1
german,37,50,Shared,49
german,37,100,Unique,5
german,37,100,Shared,95
german,37,500,Unique,5
german,37,500,Shared,495
german,37,1000,Unique,5
german,37,1000,Shared,995
german,37,2000,Unique,5
german,37,2000,Shared,1995
german,37,3000,Unique,4
german,37,3000,Shared,2996
german,37,5000,Unique,4
german,37,5000,Shared,4996
german,38,50,Unique,2
german,38,50,Shared,48
german,38,100,Unique,2
german,38,100,Shared,98
german,38,500,Unique,2
german,38,500,Shared,498
german,38,1000,Unique,2
german,38,1000,Shared,998
german,38,2000,Unique,2
german,38,2000,Shared,1998
german,38,3000,Unique,2
german,38,3000,Shared,2998
german,38,5000,Unique,2
german,38,5000,Shared,4998
german,39,50,Unique,0
german,39,50,Shared,50
german,39,100,Unique,2
german,39,100,Shared,98
german,39,500,Unique,2
german,39,500,Shared,498
german,39,1000,Unique,2
german,39,1000,Shared,998
german,39,2000,Unique,1
german,39,2000,Shared,1999
german,39,3000,Unique,1
german,39,3000,Shared,2999
german,39,5000,Unique,1
german,39,5000,Shared,4999
german,40,50,Unique,0
german,40,50,Shared,50
german,40,100,Unique,0
german,40,100,Shared,100
german,40,500,Unique,0
german,40,500,Shared,500
german,40,1000,Unique,0
german,40,1000,Shared,1000
german,40,2000,Unique,0
german,40,2000,Shared,2000
german,40,3000,Unique,0
german,40,3000,Shared,3000
german,40,5000,Unique,0
german,40,5000,Shared,5000
german,41,50,Unique,0
german,41,50,Shared,50
german,41,100,Unique,0
german,41,100,Shared,100
german,41,500,Unique,0
german,41,500,Shared,500
german,41,1000,Unique,0
german,41,1000,Shared,1000
german,41,2000,Unique,0
german,41,2000,Shared,2000
german,41,3000,Unique,0
german,41,3000,Shared,3000
german,41,5000,Unique,0
german,41,5000,Shared,5000
code,0,50,Unique,46
code,0,50,Shared,4
code,0,100,Unique,93
code,0,100,Shared,7
code,0,500,Unique,284
code,0,500,Shared,216
code,0,1000,Unique,529
